Convergence,Shear,Smooth_matter_fraction(alpha),Mapsize(Er),Numberofpixels,Lens_mass_function_power,Minmass,Maxmass,name_obj,image
0.1410884,0.6816962,0.2,30,1200.0,0.01,0.299,0.3,J1817+2729,C
1.076066,1.07564,0.2,30,1100.0,0.01,0.299,0.3,FBQ1633+3134,B
0.2938408,0.2938085,0.2,30,1100.0,0.01,0.299,0.3,KIDS2307-3039,A
0.4402876,0.6764325,0.2,30,1100.0,0.01,0.299,0.3,DESJ0530-3730,C
0.6467507,0.6465805,0.2,30,1000.0,0.01,0.299,0.3,WGA0235-2433,A
0.4453378,0.4453204,0.2,30,700.0,0.01,0.299,0.3,SDSSJ1320+1644,A
0.3672703,0.3672522,0.2,30,1300.0,0.01,0.299,0.3,J0941+0518,A
0.4729047,0.5702689,0.2,30,800.0,0.01,0.299,0.3,MG0414+0534A,2
0.4084033,0.449592,0.2,30,1100.0,0.01,0.299,0.3,SDSSJ1304+2001,A
0.569206,0.5970478,0.2,30,800.0,0.01,0.299,0.3,WISEJ0259-1635,A
0.4960184,0.4958547,0.2,30,1200.0,0.01,0.299,0.3,SDSSJ1021+4913,B
0.4126711,0.5751635,0.2,30,600.0,0.01,0.299,0.3,B2045+265,A
0.7155107,0.7149836,0.2,30,1100.0,0.01,0.299,0.3,SDSSJ1128+2402,A
0.6442316,0.6441606,0.2,30,1100.0,0.01,0.299,0.3,HE0435-1223,B
0.4615091,0.4119925,0.2,30,800.0,0.01,0.299,0.3,WISEJ0259-1635,D
0.4565035,0.4564561,0.2,30,1000.0,0.01,0.299,0.3,PSJ0147+4630,B
0.2370012,0.2369816,0.2,30,1000.0,0.01,0.299,0.3,SDSSJ0946+1835,A
1.250396,1.249724,0.2,30,1100.0,0.01,0.299,0.3,J2250+2117,B
0.8632834,0.8626866,0.2,30,1100.0,0.01,0.299,0.3,J0246-1845,B
0.7878626,0.7876122,0.2,30,1000.0,0.01,0.299,0.3,PSJ0417+3325,A
0.7954464,0.629515,0.2,30,1400.0,0.01,0.299,0.3,PG1115+080,B
0.21491,0.5335534,0.2,30,800.0,0.01,0.299,0.3,HE1113-0641,A
0.3547476,0.3547021,0.2,30,1100.0,0.01,0.299,0.3,J1238+2846,A
1.429567,1.428232,0.2,30,1800.0,0.01,0.299,0.3,SDSSJ1313+5151,B
0.4155595,0.4154614,0.2,30,1700.0,0.01,0.299,0.3,SDSSJ0904+1512,A
0.3854618,0.3854032,0.2,30,1100.0,0.01,0.299,0.3,HE0435-1223,C
0.6379339,0.637801,0.2,30,900.0,0.01,0.299,0.3,SDSSJ1400+3134,B
0.3207296,0.3107734,0.2,30,900.0,0.01,0.299,0.3,J0659+1629,B
1.135508,1.13505,0.2,30,1000.0,0.01,0.299,0.3,B0445+123,B
0.5545978,0.5544787,0.2,30,1100.0,0.01,0.299,0.3,J1508+3844,A
0.2683092,0.2682737,0.2,30,900.0,0.01,0.299,0.3,WISE2304-2214,B
0.2783823,0.2782753,0.2,30,1100.0,0.01,0.299,0.3,FBQ1633+3134,A
0.4691928,0.8750555,0.2,30,1500.0,0.01,0.299,0.3,WG0214-2105,D
0.9724503,0.9717905,0.2,30,1200.0,0.01,0.299,0.3,SDSSJ1055+4628,B
0.4851918,0.4846796,0.2,30,1100.0,0.01,0.299,0.3,HE0013-2542,A
1.002201,1.001655,0.2,30,1100.0,0.01,0.299,0.3,SDSSJ1650+4251,A
0.2726726,0.2726126,0.2,30,1100.0,0.01,0.299,0.3,PMNJ1838-3427,A
0.4980681,0.4978759,0.2,30,1200.0,0.01,0.299,0.3,CY2201-3201,B
0.8230604,0.9248362,0.2,30,1100.0,0.01,0.299,0.3,J2145+6345,B
0.365337,0.4353914,0.2,30,1200.0,0.01,0.299,0.3,SDSSJ1330+1810,D
0.6201711,0.9324981,0.2,30,1100.0,0.01,0.299,0.3,2M1134-2103,B
0.3609968,0.3608727,0.2,30,1000.0,0.01,0.299,0.3,SDSSJ1334+3315,B
0.9623722,0.01008832,0.2,30,800.0,0.01,0.299,0.3,J0029-3814,C
1.193218,1.191085,0.2,30,1100.0,0.01,0.299,0.3,B0739+366,B
1.853768,2.020615,0.2,30,1200.0,0.01,0.299,0.3,B1422+231,D
0.5017396,0.4659721,0.2,30,1400.0,0.01,0.299,0.3,2M1310-1714,B
0.3677424,0.3677015,0.2,30,1200.0,0.01,0.299,0.3,VDESJ2325-5229,B
0.7449584,1.060561,0.2,30,1100.0,0.01,0.299,0.3,HST14113+5211,D
20.78536,20.77929,0.2,30,900.0,0.01,0.299,0.3,SDSS1004+4112,E
2.574121,2.982774,0.2,30,900.0,0.01,0.299,0.3,PMNJ0134-0931,A
3.201949,3.198778,0.2,30,1000.0,0.01,0.299,0.3,PSJ0949+4208,A
0.783066,0.7828243,0.2,30,1500.0,0.01,0.299,0.3,SDSSJ1406+6126,B
0.9054316,0.9051584,0.2,30,1000.0,0.01,0.299,0.3,SDSSJ0946+1835,B
0.5594433,0.559361,0.2,30,1100.0,0.01,0.299,0.3,Q2138-431,A
0.382587,0.3825471,0.2,30,900.0,0.01,0.299,0.3,SDSSJ1206+4332,A
0.8222471,0.8218628,0.2,30,1100.0,0.01,0.299,0.3,SDSSJ1258+1657,B
0.9910544,0.9908806,0.2,30,1200.0,0.01,0.299,0.3,J1602+4526,B
0.7567403,0.7563864,0.2,30,1300.0,0.01,0.299,0.3,QJ0158-4325,B
0.8464055,0.8461294,0.2,30,1100.0,0.01,0.299,0.3,DESJ0407-5006,B
0.5673402,0.922103,0.2,30,800.0,0.01,0.299,0.3,HE1113-0641,C
0.3030699,0.3030403,0.2,30,1400.0,0.01,0.299,0.3,J0407-1931,A
0.7094813,0.7092974,0.2,30,1100.0,0.01,0.299,0.3,J1518+4658,B
0.8085366,0.8083081,0.2,30,1100.0,0.01,0.299,0.3,SDSSJ0737+4825,B
3.006477,2.999194,0.2,30,1100.0,0.01,0.299,0.3,PMNJ1838-3427,B
0.7740837,0.773815,0.2,30,1000.0,0.01,0.299,0.3,J0146-1133,B
1.043391,1.011758,0.2,30,800.0,0.01,0.299,0.3,HST14176+5226,B
0.3136399,0.3135936,0.2,30,1100.0,0.01,0.299,0.3,HE2149-2745,A
0.5969754,0.5968609,0.2,30,1000.0,0.01,0.299,0.3,J1709+3828,A
0.3114874,0.3114452,0.2,30,1100.0,0.01,0.299,0.3,J2332-1852,A
0.2717779,0.2717198,0.2,30,1500.0,0.01,0.299,0.3,FBQ0951+2635,A
0.4858674,0.4159817,0.2,30,1200.0,0.01,0.299,0.3,SDSSJ1330+1810,B
0.9709841,0.9708331,0.2,30,1100.0,0.01,0.299,0.3,J1627-0224,B
0.4032149,0.4031384,0.2,30,1100.0,0.01,0.299,0.3,PMNJ2004-1349,A
0.3735677,0.3735186,0.2,30,1500.0,0.01,0.299,0.3,WG2100-4452,B
0.2531696,0.09401783,0.2,30,1100.0,0.01,0.299,0.3,HST14113+5211,C
0.761795,0.7615816,0.2,30,1200.0,0.01,0.299,0.3,SDSSJ1455+1447,B
0.3619385,0.3618927,0.2,30,1100.0,0.01,0.299,0.3,SDSSJ0737+4825,A
0.3868007,0.3867221,0.2,30,3800.0,0.01,0.299,0.3,Q2237+030,B
0.5588964,0.6280612,0.2,30,900.0,0.01,0.299,0.3,J1131-4419,A
0.3605371,0.3604881,0.2,30,900.0,0.01,0.299,0.3,SDSSJ0820+0812,A
0.6809591,1.190236,0.2,30,900.0,0.01,0.299,0.3,PMNJ0134-0931,B
0.4533116,0.4532286,0.2,30,1100.0,0.01,0.299,0.3,HE0230-2130,A
0.4101182,0.4100461,0.2,30,1400.0,0.01,0.299,0.3,SDSSJ1131+1915,A
0.9038237,0.9036421,0.2,30,1100.0,0.01,0.299,0.3,J1612+3920,B
0.383634,0.383619,0.2,30,900.0,0.01,0.299,0.3,GraLJ165105.3-041725,C
0.3124479,0.3124139,0.2,30,900.0,0.01,0.299,0.3,J1831+5447,A
0.8148139,0.8141818,0.2,30,1000.0,0.01,0.299,0.3,SDSSJ1334+3315,A
0.6425035,0.6424812,0.2,30,1200.0,0.01,0.299,0.3,SDSSJ1433+6007,D
0.3487315,0.3480705,0.2,30,1300.0,0.01,0.299,0.3,DESJ2038-4008,D
0.6270945,0.6269982,0.2,30,1200.0,0.01,0.299,0.3,SDSSJ1433+6007,A
0.7070092,0.7422928,0.2,30,900.0,0.01,0.299,0.3,BRI0952-0115,B
0.2234605,0.2234327,0.2,30,900.0,0.01,0.299,0.3,SDSSJ1515+1511,A
0.7191922,0.7191038,0.2,30,1100.0,0.01,0.299,0.3,HE0435-1223,D
1.161223,1.160865,0.2,30,1100.0,0.01,0.299,0.3,PMNJ2004-1349,B
0.3974787,0.3974427,0.2,30,1100.0,0.01,0.299,0.3,J1612+3920,A
0.4652405,0.5316747,0.2,30,1400.0,0.01,0.299,0.3,2M1310-1714,C
0.2923962,0.292358,0.2,30,1000.0,0.01,0.299,0.3,J0123-0455,A
0.3594753,0.3594061,0.2,30,1000.0,0.01,0.299,0.3,PSS2322+1944,A
0.4724611,0.4724103,0.2,30,1000.0,0.01,0.299,0.3,PSJ0147+4630,D
0.5561815,0.5294655,0.2,30,1300.0,0.01,0.299,0.3,DESJ0420-4037,D
0.4162925,0.4075084,0.2,30,1100.0,0.01,0.299,0.3,SDSSJ0248+1913,C
0.8660955,0.865801,0.2,30,1100.0,0.01,0.299,0.3,A2213-2652,B
0.5148092,0.5146143,0.2,30,1100.0,0.01,0.299,0.3,HS0810+2554,B
0.6110459,0.6105853,0.2,30,700.0,0.01,0.299,0.3,HE0512-3329,A
0.6103681,0.6100912,0.2,30,900.0,0.01,0.299,0.3,SDSS1226-0006,A
0.3366628,0.3365838,0.2,30,1200.0,0.01,0.299,0.3,SDSSJ1055+4628,A
0.5044918,0.5043485,0.2,30,1000.0,0.01,0.299,0.3,COSMOS5921+0638,D
0.2056594,0.3922244,0.2,30,1500.0,0.01,0.299,0.3,WG0214-2105,A
0.453666,0.4535659,0.2,30,1200.0,0.01,0.299,0.3,HE0047-1756,A
0.2735687,0.2735279,0.2,30,1000.0,0.01,0.299,0.3,PMNJ1632-0033,A
0.6407789,1.021392,0.2,30,1200.0,0.01,0.299,0.3,J1817+2729,B
0.4599237,0.4598618,0.2,30,1500.0,0.01,0.299,0.3,WG2100-4452,D
0.8474093,1.011516,0.2,30,1100.0,0.01,0.299,0.3,J2349-4518,B
0.7502748,0.742566,0.2,30,1200.0,0.01,0.299,0.3,SDSSJ1330+1810,A
0.5283465,0.5248942,0.2,30,1100.0,0.01,0.299,0.3,WFIJ2026-4536A,1
0.6060094,0.6058157,0.2,30,1300.0,0.01,0.299,0.3,SDSSJ1524+4409,A
0.7476635,0.7473742,0.2,30,1200.0,0.01,0.299,0.3,DES0247-6349,B
0.5764306,0.5761838,0.2,30,900.0,0.01,0.299,0.3,HS2209+1914,A
0.5573727,0.9292872,0.2,30,1500.0,0.01,0.299,0.3,WG0214-2105,B
0.3660507,0.3659969,0.2,30,1100.0,0.01,0.299,0.3,J1623+7533,A
0.4020803,0.3990492,0.2,30,1100.0,0.01,0.299,0.3,WFIJ2026-4536,B
1.030239,1.029791,0.2,30,900.0,0.01,0.299,0.3,SBS1520+530,B
0.384871,0.3847272,0.2,30,500.0,0.01,0.299,0.3,ATLASJ2344-3056,B
0.3517075,0.3516406,0.2,30,1000.0,0.01,0.299,0.3,SDSSJ0806+2006,A
0.381777,0.3817194,0.2,30,1100.0,0.01,0.299,0.3,HE0435-1223,A
0.5655854,0.565414,0.2,30,1100.0,0.01,0.299,0.3,SDSSJ2257+2349,A
0.8252618,0.8850381,0.2,30,900.0,0.01,0.299,0.3,WFI2033-4723,C
0.3212285,0.3211311,0.2,30,900.0,0.01,0.299,0.3,Q1017-207,A
0.7090339,0.5763374,0.2,30,900.0,0.01,0.299,0.3,RXJ0911+0551,A
0.4550968,0.4550517,0.2,30,1300.0,0.01,0.299,0.3,SDSS1011+0143,C
0.5557611,1.086938,0.2,30,900.0,0.01,0.299,0.3,PMNJ0134-0931,D
0.3835628,0.3905231,0.2,30,1000.0,0.01,0.299,0.3,J0053-2012,C
0.2884675,0.2884249,0.2,30,1100.0,0.01,0.299,0.3,J0124-0033,A
0.4157515,0.4156817,0.2,30,1100.0,0.01,0.299,0.3,HE0230-2130,C
0.284065,0.284038,0.2,30,900.0,0.01,0.299,0.3,HE1104-1805,B
0.2304823,0.2304605,0.2,30,1300.0,0.01,0.299,0.3,WGD2021-4115,A
0.5618688,0.6131027,0.2,30,800.0,0.01,0.299,0.3,WISEJ0259-1635,C
1.428348,1.427288,0.2,30,800.0,0.01,0.299,0.3,J1004+1229,B
0.2852839,0.2852324,0.2,30,1100.0,0.01,0.299,0.3,SDSSJ1258+1657,A
0.3198127,0.3197647,0.2,30,1000.0,0.01,0.299,0.3,J0047+2514,A
0.4938057,0.6917959,0.2,30,1000.0,0.01,0.299,0.3,J0053-2012,B
0.8372473,0.8368546,0.2,30,1200.0,0.01,0.299,0.3,B1600+434,A
0.61432,0.6142276,0.2,30,3800.0,0.01,0.299,0.3,Q2237+030,D
0.4083852,0.4083206,0.2,30,1200.0,0.01,0.299,0.3,SDSSJ1455+1447,A
2.899319,2.894746,0.2,30,1000.0,0.01,0.299,0.3,PMNJ1632-0033,B
0.3576222,0.2941988,0.2,30,1100.0,0.01,0.299,0.3,J0011-0845,A
0.4877166,0.4868833,0.2,30,1000.0,0.01,0.299,0.3,PSJ0630-1201,B
0.3852955,0.3851511,0.2,30,500.0,0.01,0.299,0.3,ATLASJ2344-3056,D
0.4798569,0.4797229,0.2,30,1200.0,0.01,0.299,0.3,B0712+472,A
0.4062199,0.5584075,0.2,30,600.0,0.01,0.299,0.3,B2045+265,C
0.4563402,0.4151616,0.2,30,1400.0,0.01,0.299,0.3,2M1310-1714,D
0.4902476,0.6702899,0.2,30,1000.0,0.01,0.299,0.3,PSJ0030-1525,D
0.4978912,0.4977671,0.2,30,1100.0,0.01,0.299,0.3,DESJ0115-5244,B
0.6094306,0.6247345,0.2,30,1100.0,0.01,0.299,0.3,SDSSJ0248+1913,D
0.3658208,0.3657408,0.2,30,400.0,0.01,0.299,0.3,WISE2329-1258,B
0.8852212,0.8848678,0.2,30,1000.0,0.01,0.299,0.3,J2124+1632,B
0.01229861,1.055243,0.2,30,800.0,0.01,0.299,0.3,J0818-2613,D
0.3166472,0.3226856,0.2,30,1200.0,0.01,0.299,0.3,J0343-2828,D
0.5671135,0.5670251,0.2,30,1100.0,0.01,0.299,0.3,SDSSJ1442+4055,B
0.5195881,0.6241921,0.2,30,1100.0,0.01,0.299,0.3,J2145+6345,D
0.6366553,1.082172,0.2,30,1200.0,0.01,0.299,0.3,J1817+2729,D
0.6733928,0.6731697,0.2,30,1100.0,0.01,0.299,0.3,J1515+3137,B
0.9064774,0.9061541,0.2,30,1100.0,0.01,0.299,0.3,J1553+3149,B
0.458641,0.4585489,0.2,30,1100.0,0.01,0.299,0.3,J1508+3844,B
0.4644159,0.4643823,0.2,30,1400.0,0.01,0.299,0.3,SDSSJ0819+5356,A
0.5728449,0.572652,0.2,30,900.0,0.01,0.299,0.3,DESJ2146-0047,B
0.4116514,0.4115746,0.2,30,1000.0,0.01,0.299,0.3,J1709+3828,B
0.8195295,0.8193852,0.2,30,1100.0,0.01,0.299,0.3,PSJ2305+3714,A
0.1763035,0.1762882,0.2,30,1200.0,0.01,0.299,0.3,HS0818+1227,A
